id	sample16.bam	sample17.bam	sample18.bam	sample19.bam
gene-YAL068C	9.42186374375491	8.58477940153218	6.3634098461932	5.14490420916488
gene-YAL067W-A	0	0	0	0
gene-YAL067C	78.0668710196836	37.0218611691075	15.908524615483	9.43232438346894
gene-YAL065C	7.40289294152172	1.60964613778728	6.3634098461932	2.57245210458244
gene-YAL064W-B	0.672990267411065	1.60964613778728	0	0
gene-YAL064C-A	0	0.536548712595761	3.1817049230966	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	18.8437274875098	10.7309742519152	6.3634098461932	2.57245210458244
gene-YAL062W	5112.03407125445	587.520840292359	416.803344925655	138.054929612591
gene-YAL061W	1283.3924399529	1041.44105114837	101.814557539091	70.3136908585867
gene-YAL060W	2743.1083299675	2589.38408698714	267.263213540114	284.68469957379
gene-YAL059W	90.8536861004938	136.283372999323	1679.94019939501	1433.71330628728
gene-YAL058W	57.2041727299406	73.5071736256193	174.993770770313	167.209386797859
gene-YAL056W	942.859364642903	628.298542449637	82.7243280005116	67.7412387540042
gene-YAL055W	151.42281016749	113.748327070301	38.1804590771592	31.7269092898501
gene-YAL054C	15660.4835226555	3418.3518479476	502.709377849263	107.185504357602
gene-YAL053W	1296.85224530112	414.215606123928	1231.31980523838	790.60028014167
gene-YAL051W	351.300919588576	253.250992345199	200.447410155086	168.92435486758
gene-YAL049C	1792.84607238308	1290.9362025054	213.174229847472	252.95779028394
gene-YAL048C	170.939527922411	120.723460334046	89.0877378467048	72.0286589283083
gene-YAL047C	67.9720170085176	65.4589429366829	76.3609181543184	73.7436269980299
gene-YAL046C	25.5736301616205	103.553901530982	85.9060329236082	130.337573298844
gene-YAL044W-A	349.281948786343	247.885505219242	79.542623077415	106.328020322741
gene-YAL044C	541.757165265908	817.70023799594	448.620394156621	373.863039199315
gene-YAL043C	427.348819806026	366.999319415501	397.713115387075	465.613830929422
gene-YAL042W	284.00189284747	457.676051844185	445.438689233524	509.345516707323
gene-YAL041W	111.716384390237	195.303731384857	394.531410463978	341.278645874604
gene-YAL040C	576.079668903872	326.758165970819	878.150558774662	632.82321772728
gene-YAL039C	504.069710290888	554.791368824017	442.256984310427	303.549348340728
gene-YAL038W	25367.6951397927	9692.21594432984	12660.0038890014	9448.6165801313
gene-YAL037C-A	14.1327956156324	8.58477940153218	19.0902295385796	9.43232438346894
gene-YAL037W	28.2655912312647	27.3639843423838	57.2706886157388	46.3041378824839
gene-YAL036C	123.157218936225	133.064080723749	1438.13062523966	1372.83193981216
gene-YAL035W	979.873829350511	1142.84875782897	2971.71239817222	2515.00067424676
gene-YAL034W-A	47.7823089861856	72.9706249130236	44.5438689233524	40.3017496384582
gene-YAL034C	2726.28357328223	1124.06955288812	302.261967694177	282.969731504068
gene-YAL033W	43.0713771143082	62.7761993737041	104.996262462188	174.069259076745
gene-YAL032C	57.8771629973516	96.5787682672371	248.172984001535	212.656040645482
gene-YAL031C	326.400279694367	246.81240779405	155.903541231733	138.912413647452
